     NO.	    Tcal	  T-Tcal	       d
     215	0.949809	-0.091729	7339.263373
     216	0.950264	-0.092184	7373.558996
     217	0.950731	-0.092651	7407.854619
     218	0.951209	-0.093129	7442.150243
     219	0.951699	-0.093619	7476.445866
     220	0.952201	-0.094121	7510.741489
     221	0.952714	-0.094634	7545.037112
     222	0.953239	-0.095159	7579.332735
     223	0.953775	-0.095695	7613.628359
     224	0.954322	-0.096242	7647.923982
     225	0.954880	-0.096800	7682.219605
     226	0.955449	-0.097369	7716.515228
     227	0.956028	-0.097948	7750.810852
     228	0.956618	-0.098538	7785.106475
     229	0.957219	-0.099139	7819.402098
     230	0.957830	-0.099750	7853.697721
     231	0.958451	-0.100371	7887.993345
     232	0.959082	-0.101002	7922.288968
     233	0.959722	-0.101642	7956.584591
     234	0.960373	-0.102293	7990.880214
     235	0.961033	-0.102953	8025.175838
     236	0.961702	-0.103622	8059.471461
     237	0.962380	-0.104300	8093.767084
     238	0.963068	-0.104988	8128.062707
     239	0.963764	-0.105684	8162.358331
     240	0.964469	-0.106389	8196.653954
     241	0.965183	-0.107103	8230.949577
     242	0.965905	-0.107825	8265.245200
     243	0.966634	-0.108554	8299.540823
     244	0.967372	-0.109292	8333.836447
     245	0.968118	-0.110038	8368.132070
     246	0.968871	-0.110791	8402.427693
     247	0.969631	-0.111551	8436.723316
     248	0.970399	-0.112319	8471.018940
     249	0.971173	-0.113093	8505.314563
     250	0.971955	-0.113875	8539.610186
     251	0.972742	-0.114662	8573.905809
     252	0.973536	-0.115456	8608.201433
     253	0.974337	-0.116257	8642.497056
     254	0.975143	-0.117063	8676.792679
     255	0.975954	-0.117874	8711.088302
     256	0.976771	-0.118691	8745.383926
     257	0.977594	-0.119514	8779.679549
     258	0.978421	-0.120341	8813.975172
     259	0.979253	-0.121173	8848.270795
     260	0.980090	-0.122010	8882.566419
     261	0.980931	-0.122851	8916.862042
     262	0.981775	-0.123695	8951.157665
     263	0.982624	-0.124544	8985.453288
     264	0.983476	-0.125396	9019.748911
     265	0.984332	-0.126252	9054.044535
     266	0.985191	-0.127111	9088.340158
     267	0.986052	-0.127972	9122.635781
     268	0.986916	-0.128836	9156.931404
     269	0.987783	-0.129703	9191.227028
     270	0.988651	-0.130571	9225.522651
     271	0.989521	-0.131441	9259.818274
     272	0.990393	-0.132313	9294.113897
     273	0.991266	-0.133186	9328.409521
     274	0.992140	-0.134060	9362.705144
     275	0.993015	-0.134935	9397.000767
     276	0.993890	-0.135810	9431.296390
     277	0.994765	-0.136685	9465.592014
     278	0.995640	-0.137560	9499.887637
     279	0.996515	-0.138435	9534.183260
     280	0.997390	-0.139310	9568.478883
     281	0.998263	-0.140183	9602.774506
     282	0.999136	-0.141056	9637.070130
     283	1.000007	-0.141927	9671.365753
     284	1.000876	-0.142796	9705.661376
     285	1.001743	-0.143663	9739.956999
     286	1.002608	-0.144528	9774.252623
     287	1.003470	-0.145390	9808.548246
     288	1.004330	-0.146250	9842.843869
     289	1.005186	-0.147106	9877.139492
     290	1.006039	-0.147959	9911.435116
     291	1.006889	-0.148809	9945.730739
     292	1.007734	-0.149654	9980.026362
     293	1.008575	-0.150495	10014.321985
     294	1.009412	-0.151332	10048.617609
     295	1.010244	-0.152164	10082.913232
     296	1.011071	-0.152991	10117.208855
     297	1.011892	-0.153812	10151.504478
     298	1.012708	-0.154628	10185.800102
     299	1.013518	-0.155438	10220.095725
     300	1.014321	-0.156241	10254.391348
     301	1.015119	-0.157039	10288.686971
     302	1.015909	-0.157829	10322.982594
     303	1.016692	-0.158612	10357.278218
     304	1.017468	-0.159388	10391.573841
     305	1.018237	-0.160157	10425.869464
     306	1.018998	-0.160918	10460.165087
     307	1.019750	-0.161670	10494.460711
     308	1.020494	-0.162414	10528.756334
     309	1.021230	-0.163150	10563.051957
     310	1.021956	-0.163876	10597.347580
     311	1.022674	-0.164594	10631.643204
     312	1.023381	-0.165301	10665.938827
     313	1.024080	-0.166000	10700.234450
     314	1.024768	-0.166688	10734.530073
     315	1.025446	-0.167366	10768.825697
     316	1.026114	-0.168034	10803.121320
     317	1.026770	-0.168690	10837.416943
     318	1.027416	-0.169336	10871.712566
     319	1.028051	-0.169971	10906.008190
     320	1.028674	-0.170594	10940.303813
     321	1.029286	-0.171206	10974.599436
     322	1.029886	-0.171806	11008.895059
     323	1.030474	-0.172394	11043.190682
     324	1.031049	-0.172969	11077.486306
     325	1.031612	-0.173532	11111.781929
     326	1.032162	-0.174082	11146.077552
     327	1.032699	-0.174619	11180.373175
     328	1.033223	-0.175143	11214.668799
     329	1.033733	-0.175653	11248.964422
     330	1.034230	-0.176150	11283.260045
     331	1.034713	-0.176633	11317.555668
     332	1.035182	-0.177102	11351.851292
     333	1.035637	-0.177557	11386.146915
     334	1.036078	-0.177998	11420.442538
     335	1.036504	-0.178424	11454.738161
     336	1.036916	-0.178836	11489.033785
     337	1.037313	-0.179233	11523.329408
     338	1.037694	-0.179614	11557.625031
     339	1.038061	-0.179981	11591.920654
     340	1.038412	-0.180332	11626.216278
     341	1.038749	-0.180669	11660.511901
     342	1.039069	-0.180989	11694.807524
     343	1.039374	-0.181294	11729.103147
     344	1.039663	-0.181583	11763.398770
     345	1.039936	-0.181856	11797.694394
     346	1.040193	-0.182113	11831.990017
     347	1.040434	-0.182354	11866.285640
     348	1.040659	-0.182579	11900.581263
     349	1.040868	-0.182788	11934.876887
     350	1.041060	-0.182980	11969.172510
     351	1.041235	-0.183155	12003.468133
     352	1.041395	-0.183315	12037.763756
     353	1.041537	-0.183457	12072.059380
     354	1.041663	-0.183583	12106.355003
     355	1.041773	-0.183693	12140.650626
     356	1.041865	-0.183785	12174.946249
     357	1.041941	-0.183861	12209.241873
     358	1.042000	-0.183920	12243.537496
     359	1.042042	-0.183962	12277.833119
     360	1.042067	-0.183987	12312.128742
